system_kanji_profile_link,company_name,capital,establishment_year,number_of_members,company_website,location,representative,system_kanji_project_count
https://system-kanji.com/services/11454,株式会社Ｊ＆Ｃカンパニー,"6,000,000円",2015年10月1日,40名（中国開発センター在籍者含む） ※2026年2月現在,http://www.jcc-ltd.com/,〒 700-0826 岡山県岡山市北区磨屋町10-20 磨屋町ビル4階,大塚 浩文,17
https://system-kanji.com/services/17478,株式会社Offpro,"4,000万円",2024年12月,約250人(グループ会社),https://offpro.jp/,〒 108-0023 東京都港区芝浦 3-9-1 芝浦ルネサイトタワー2F,川上 純一,14
https://system-kanji.com/services/16914,株式会社一創（イッソウ）,"4,000万円",2014年03月04日,110人,https://www.issoh.co.jp/,〒 104-6205 東京都中央区晴海1丁目8番12号 晴海アイランド トリトンスクエア オフィスタワーＺ棟5階,劉 寧,5
https://system-kanji.com/services/17439,リベルタ株式会社,700万円,2014年6月2日,15人,https://liberta-inc.com/,〒 162-0836 東京都新宿区南町15-206,澤野 啓次郎,8
https://system-kanji.com/services/17823,コロニーインタラクティブ株式会社,"41,900,000円",2005年6月2日,50名（※2026年4月時点）,https://colony-i.com/,〒 162-0845 東京都新宿区市谷本村町2-21 市ヶ谷キャナルコート 5F,田上 知之,14
https://system-kanji.com/services/11291,クロスクローバ株式会社,300万円,2008年5月,,http://www.crossclover.jp/,〒 451-0051 愛知県名古屋市西区則武新町4丁目4-19 SG名古屋駅ビル 304,奥村 典弘,13
https://system-kanji.com/services/15902,DeFactory株式会社,950万円,2017年2月2日,22,https://defactory.co.jp/,〒 254-0075 神奈川県平塚市中原3-12-5,徳満 翔平,3
https://system-kanji.com/services/16585,株式会社ネクフル,525万円,2011年11月2日,10名（役員、従業員合計）,https://necfru.com/,〒 104-0061 東京都中央区銀座7-17-13 銀座永谷ビル6F,草薙俊介,6
https://system-kanji.com/services/17305,MoffBear合同会社,"1,00万円",2024年1月15日,2,https://www.moff-bear.com/,東京都江東区,,9
https://system-kanji.com/services/16891,品川ウェブ制作所合同会社,150万円,2023年,5人,https://shinagawa-web.com/,〒 105-0013 東京都港区浜松町２丁目２番１５号 浜松町ダイヤビル２Ｆ,出口 数具,11
https://system-kanji.com/services/17474,株式会社Relic,"5,400万円",2015年8月,300名,https://relic.co.jp/,〒 150-6019 東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー19F,北嶋貴朗,2
https://system-kanji.com/services/16715,株式会社ShareDan,500万円,2017年8月1日,6名,https://www.sharedan.co.jp/,〒 111-0053 東京都台東区浅草橋５丁目１−３８ アイビー浅草橋 3階,山本 真也,9
https://system-kanji.com/services/17667,株式会社Pionero,"8,000,000円",2020年10月,120名（開発拠点含む）,https://www.pionero.io/ja/,〒 101-0046 東京都千代田区神田多町２－１神田東山ビル7F/8F,チン トゥアン トゥー,13
https://system-kanji.com/services/16391,株式会社wesionaryTEAM,"20,000,000円",2020年2月3日,53名,https://wesionary.team/,〒 150-6139 東京都渋谷区渋谷二丁目24番12号 渋谷スクランブルスクエア 39F WeWork,永田 一郎,8
https://system-kanji.com/services/11978,株式会社セルバ,"1,000万円",2003年7月17日,40名,https://www.selva-i.co.jp/,〒 104-0061 東京都中央区銀座1丁目3番3号 G1ビル7階,中山 健,8
https://system-kanji.com/services/17503,株式会社ムクイル,100万円,2024年3月,20名(インターン・業務委託含む),https://www.mukuil.com/,〒 130-0022 東京都墨田区江東橋 4-27-14 楽天地ビル3F C48,入江龍雅,4
https://system-kanji.com/services/17527,KUSSHU合同会社,200万円,2023/9/11,6,https://kusshu.jp/,〒 105-0022 東京都港区海岸１－２－２０汐留ビルディング３階,本庄 駿平,5
https://system-kanji.com/services/17716,株式会社グリームオーブ,1000万円,2016年3月,25名（2022年7月現在）,https://www.gleamorb.co.jp/,〒 150-0011 東京都渋谷区東1-26-20 東京建物東渋谷ビル6F,細川 尚史,3
https://system-kanji.com/services/16820,合同会社TamaT,5万円,2020年5月12日,5人 (業務委託含む),https://tamat.jp/,〒 225-0002 神奈川県横浜市青葉区美しが丘,田中雄大,3
